productName,warehouseName,TotalQuantitySold,TotalRevenue,quantityInStock
"1962 LanciaA Delta 16V",East,932,41306.24,6791
"1974 Ducati 350 Mk3 Desmo",North,898,41236.16,3341
"1912 Ford Model T Delivery Wagon",West,991,41225.60,9173
"18th century schooner",South,1011,40996.05,1898
"American Airlines: MD-11S",North,1085,40969.60,8820
"The Queen Mary",South,896,40929.28,5088
"Corsair F4U ( Bird Cage)",North,1051,40883.90,6812
"2002 Chevy Corvette",East,894,40203.18,9446
"18th Century Vintage Horse Carriage",West,907,39889.86,5992
"1960 BSA Gold Star DBD34",North,1015,39432.75,15
"1936 Chrysler Airflow",West,983,39251.19,4710
"1968 Dodge Charger",East,925,39109.00,9123
"The USS Constitution Ship",South,1020,39076.20,7083
"1952 Citroen-15CV",East,873,38953.26,1452
"The Mayflower",South,898,38892.38,737
"1980’s GM Manhattan Express",South,911,38608.18,5099
"1940s Ford truck",South,1061,38535.52,3128
"1900s Vintage Tri-Plane",North,1009,36545.98,2756
"American Airlines: B767-300",North,894,35929.86,5841
"1926 Ford Fire Engine",South,998,35778.30,2018
"1937 Horch 930V Limousine",West,884,34873.80,2902
"1928 Ford Phaeton Deluxe",West,972,34768.44,136
"1904 Buick Runabout",West,990,34758.90,8290
"1936 Harley Davidson El Knucklehead",North,945,34341.30,4357
"1997 BMW F650 ST",North,1014,33431.58,178
"1999 Yamaha Speed Boat",South,966,33240.06,4259
"1950's Chicago Surface Lines Streetcar",South,934,33082.28,8601
"P-51-D Mustang",North,917,32535.16,992
"1940 Ford Delivery Sedan",West,923,32508.06,6621
"1900s Vintage Bi-Plane",North,940,32204.40,5942
"1996 Peterbilt 379 Stake Bed with Outrigger",South,988,30657.64,814
"Collectable Wooden Train",South,918,30551.04,6450
"1969 Dodge Super Bee",East,974,30544.64,1917
"1969 Chevrolet Camaro Z28",East,870,30537.00,4695
"The Schooner Bluenose",South,934,30513.78,1897
"America West Airlines B757-200",North,984,30425.28,9653
"1936 Mercedes-Benz 500K Special Roadster",West,960,28464.00,8635
"1957 Ford Thunderbird",East,767,28425.02,3209
"1957 Vespa GS150",North,959,28021.98,7689
"1934 Ford V8 Coupe",West,985,27688.35,5649
"1939 Cadillac Limousine",West,995,27034.15,6645
"1954 Greyhound Scenicruiser",South,955,26864.15,2874
"F/A 18 Hornet 1/72",North,1047,26803.20,551
"1970 Dodge Coronet",East,976,24819.68,4074
"1938 Cadillac V-16 Presidential Limousine",West,955,23101.45,2847
"1911 Ford Town Car",West,832,22663.68,540
"1948 Porsche 356-A Roadster",East,972,22453.20,8826
"1971 Alpine Renault 1600s",East,969,21947.85,7995
"1982 Ducati 900 Monster",North,947,20985.52,6840
"Pont Yacht",South,958,20405.40,414
"1962 City of Detroit Streetcar",South,966,20372.94,1645
"1982 Lamborghini Diablo",East,912,19626.24,7723
"1970 Chevy Chevelle SS 454",East,803,19472.75,1005
"1966 Shelby Cobra 427 S/C",East,915,19333.95,8197
"1958 Chevy Corvette Limited Edition",East,983,19119.35,2542
"1930 Buick Marquette Phaeton",West,1074,17806.92,7062
"Boeing X-32A JSF",North,960,16214.40,4857
"1936 Mercedes Benz 500k Roadster",West,824,15886.72,2081
"1982 Ducati 996 R",North,906,14577.54,9241
"1939 Chevrolet Deluxe Coupe",West,937,9950.94,7332
